"Concrete Grade","Concrete Source","Qty.","Age","Weight in Kg.","Density in MT/m3","Load in KN","Comp. Strength in %"
"M-15","ACC PLANT","45 M3",7,8.701,2578.07407407407,230.9,68.7703703703707
"M-15","ACC PLANT","45 M3",7,8.356,2475.85185185185,243.9,68.7703703703707
"M-15","ACC PLANT","45 M3",28,8.785,2602.96296296296,410.4,128.849382716049
"M-15","ACC PLANT","45 M3",28,8.793,2605.33333333333,465.3,128.849382716049
"M-15","ACC PLANT","45 M3",28,8.44,2500.74074074074,428.9,128.849382716049
"M-15","ACC PLANT","45 M3",7,8.291,2456.59259259259,235.9,69.8864197530867
"M-15","ACC PLANT","45 M3",7,8.192,2427.25925925926,244.8,69.8864197530867
"M-15","ACC PLANT","45 M3",7,8.451,2504,226.9,69.8864197530867
"M-15","ACC PLANT","45 M3",28,8.683,2572.74074074074,445.5,137.639506172839
"M-15","ACC PLANT","45 M3",28,8.74,2589.62962962963,467.7,137.639506172839
"M-15","ACC PLANT","45 M3",28,8.644,2561.18518518519,480.4,137.639506172839
"M-15","ACC PLANT","46 M3",7,8.254,2445.62962962963,241.8,67.4172839506173
"M-15","ACC PLANT","46 M3",7,8.369,2479.7037037037,230.6,67.4172839506173
"M-15","ACC PLANT","46 M3",7,8.501,2518.81481481481,210.2,67.4172839506173
"M-15","ACC PLANT","46 M3",28,8.56,2536.2962962963,520.1,144.948148148148
"M-15","ACC PLANT","46 M3",28,8.469,2509.33333333333,460.3,144.948148148148
"M-15","ACC PLANT","46 M3",28,8.375,2481.48148148148,487.2,144.948148148148
"M-15","ACC PLANT","46 M3",7,8.642,2560.59259259259,259.3,76.1283950617284
"M-15","ACC PLANT","46 M3",7,8.25,2444.44444444444,260.2,76.1283950617284
"M-15","ACC PLANT","46 M3",7,8.199,2429.33333333333,251.3,76.1283950617284
"M-15","ACC PLANT","46 M3",28,8.4734,2510.63703703704,473.9,141.333333333333
"M-15","ACC PLANT","46 M3",28,8.558,2535.7037037037,476.2,141.333333333333
"M-15","ACC PLANT","46 M3",28,8.492,2516.14814814815,480.9,141.333333333333
"M-15","ACC PLANT","21 M3",7,8.359,2476.74074074074,238.9,71.9802469135802
"M-15","ACC PLANT","21 M3",7,8.411,2492.14814814815,246.5,71.9802469135802
"M-15","ACC PLANT","21 M3",7,8.509,2521.18518518519,243.4,71.9802469135802
"M-15","ACC PLANT","21 M3",28,8.352,2474.66666666667,510,135.041975308642
"M-15","ACC PLANT","21 M3",28,8.653,2563.85185185185,397.2,135.041975308642
"M-15","ACC PLANT","21 M3",28,8.512,2522.07407407407,460.1,135.041975308642
"M-15","ACC PLANT","21 M3",7,8.611,2551.40740740741,253.4,75.4567901234568
"M-15","ACC PLANT","21 M3",7,8.403,2489.77777777778,259.4,75.4567901234568
"M-15","ACC PLANT","21 M3",7,8.361,2477.33333333333,251.2,75.4567901234568
"M-15","ACC PLANT","21 M3",28,8.554,2534.51851851852,456.8,137.6
"M-15","ACC PLANT","21 M3",28,8.701,2578.07407407407,462.9,137.6
"M-15","ACC PLANT","21 M3",28,8.192,2427.25925925926,473.5,137.6
"M-15","ACC PLANT","28M3",7,8.438,2500.14814814815,240.6,72.4740740740741
"M-15","ACC PLANT","28M3",7,8.45,2503.7037037037,240.9,72.4740740740741
"M-15","ACC PLANT","28M3",7,8.534,2528.59259259259,252.3,72.4740740740741
"M-15","ACC PLANT","28M3",28,8.499,2518.22222222222,473.9,135.891358024691
"M-15","ACC PLANT","28M3",28,8.653,2563.85185185185,480.7,135.891358024691
"M-15","ACC PLANT","28M3",28,8.512,2522.07407407407,421.3,135.891358024691
"M-15","ACC PLANT","28M3",7,8.61,2551.11111111111,249.5,76.0296296296296
"M-15","ACC PLANT","28M3",7,8.426,2496.59259259259,261.4,76.0296296296296
"M-15","ACC PLANT","28M3",7,8.624,2555.25925925926,258.9,76.0296296296296
"M-15","ACC PLANT","28M3",28,8.611,2551.40740740741,503.1,131.743209876543
"M-15","ACC PLANT","28M3",28,8.744,2590.81481481481,430.5,131.743209876543
"M-15","ACC PLANT","28M3",28,8.598,2547.55555555556,400.3,131.743209876543
"M-15","ACC PLANT","38 M3",7,8.789,2604.14814814815,243.5,73.6888888888889
"M-15","ACC PLANT","38 M3",7,8.653,2563.85185185185,245.9,73.6888888888889
"M-15","ACC PLANT","38 M3",7,8.598,2547.55555555556,256.7,73.6888888888889
"M-15","ACC PLANT","38 M3",28,8.642,2560.59259259259,440.2,121.896296296296
"M-15","ACC PLANT","38 M3",28,8.51,2521.48148148148,392.1,121.896296296296
"M-15","ACC PLANT","38 M3",28,8.369,2479.7037037037,401.9,121.896296296296
"M-15","ACC PLANT","38 M3",7,8.605,2549.62962962963,225.6,67.0222222222222
"M-15","ACC PLANT","38 M3",7,8.456,2505.48148148148,210.2,67.0222222222222
"M-15","ACC PLANT","38 M3",7,8.325,2466.66666666667,242.8,67.0222222222222
"M-15","ACC PLANT","38 M3",28,8.356,2475.85185185185,501.2,138.785185185185
"M-15","ACC PLANT","38 M3",28,8.4,2488.88888888889,432.1,138.785185185185
"M-15","ACC PLANT","38 M3",28,8.579,2541.92592592593,471.9,138.785185185185
"M-15","ACC PLANT","16 M3",7,8.613,2552,230.5,66.8246913580247
"M-15","ACC PLANT","16 M3",7,8.744,2590.81481481481,219.8,66.8246913580247
"M-15","ACC PLANT","16 M3",7,8.598,2547.55555555556,226.3,66.8246913580247
"M-15","ACC PLANT","16 M3",28,8.82,2613.33333333333,480.3,137.234567901235
"M-15","ACC PLANT","16 M3",28,8.45,2503.7037037037,520.7,137.234567901235
"M-15","ACC PLANT","16 M3",28,8.405,2490.37037037037,388.5,137.234567901235
"M-15","ACC PLANT","22M3",7,8.569,2538.96296296296,248.6,76.4543209876543
"M-15","ACC PLANT","22M3",7,8.678,2571.25925925926,261.2,76.4543209876543
"M-15","ACC PLANT","22M3",7,8.781,2601.77777777778,264.3,76.4543209876543
"M-15","ACC PLANT","22M3",28,8.385,2484.44444444444,440.1,125.017283950617
"M-15","ACC PLANT","22M3",28,8.44,2500.74074074074,399.9,125.017283950617
"M-15","ACC PLANT","22M3",28,8.429,2497.48148148148,425.8,125.017283950617
"M-15","ACC PLANT","22M3",7,8.495,2517.03703703704,255.3,79.3876543209877
"M-15","ACC PLANT","22M3",7,8.76,2595.55555555556,270.1,79.3876543209877
"M-15","ACC PLANT","22M3",7,8.644,2561.18518518519,278.4,79.3876543209877
"M-15","ACC PLANT","22M3",28,8.659,2565.62962962963,456.3,131.091358024691
"M-15","ACC PLANT","22M3",28,8.534,2528.59259259259,448.2,131.091358024691
"M-15","ACC PLANT","22M3",28,8.488,2514.96296296296,422.8,131.091358024691
"M-15","ACC PLANT","21.5 M3",7,8.489,2515.25925925926,273.6,81.5703703703704
"M-15","ACC PLANT","21.5 M3",7,8.561,2536.59259259259,281.4,81.5703703703704
"M-15","ACC PLANT","21.5 M3",7,8.708,2580.14814814815,270.9,81.5703703703704
"M-15","ACC PLANT","21.5 M3",28,8.82,2613.33333333333,480.3,137.234567901235
"M-15","ACC PLANT","21.5 M3",28,8.45,2503.7037037037,520.7,137.234567901235
"M-15","ACC PLANT","21.5 M3",28,8.405,2490.37037037037,388.5,137.234567901235
"M-15","ACC PLANT","21.5 M3",7,8.626,2555.85185185185,264.8,81.7086419753087
"M-15","ACC PLANT","21.5 M3",7,8.801,2607.7037037037,279.1,81.7086419753087
"M-15","ACC PLANT","21.5 M3",7,8.522,2525.03703703704,283.4,81.7086419753087
"M-15","ACC PLANT","21.5 M3",28,8.385,2484.44444444444,440.1,125.017283950617
"M-15","ACC PLANT","21.5 M3",28,8.44,2500.74074074074,399.9,125.017283950617
"M-15","ACC PLANT","21.5 M3",28,8.429,2497.48148148148,425.8,125.017283950617
"M-15","ACC PLANT","22.5M3",7,8.569,2538.96296296296,275.4,79.7530864197531
"M-15","ACC PLANT","22.5M3",7,8.678,2571.25925925926,260.8,79.7530864197531
"M-15","ACC PLANT","22.5M3",7,8.781,2601.77777777778,271.3,79.7530864197531
"M-15","ACC PLANT","22.5M3",28,8.385,2484.44444444444,440.1,125.017283950617
"M-15","ACC PLANT","22.5M3",28,8.44,2500.74074074074,399.9,125.017283950617
"M-15","ACC PLANT","22.5M3",28,8.429,2497.48148148148,425.8,125.017283950617
"M-15","ACC PLANT","22.5M3",7,8.495,2517.03703703704,255.3,79.3876543209877
"M-15","ACC PLANT","22.5M3",7,8.76,2595.55555555556,270.1,79.3876543209877
"M-15","ACC PLANT","22.5M3",7,8.644,2561.18518518519,278.4,79.3876543209877
"M-15","ACC PLANT","22.5M3",28,8.659,2565.62962962963,456.3,131.091358024691
"M-15","ACC PLANT","22.5M3",28,8.534,2528.59259259259,448.2,131.091358024691
"M-15","ACC PLANT","22.5M3",28,8.488,2514.96296296296,422.8,131.091358024691
"M-15","ACC PLANT","18M3",7,8.821,2613.62962962963,270.1,83.6148148148148
"M-15","ACC PLANT","18M3",7,8.605,2549.62962962963,285.3,83.6148148148148
"M-15","ACC PLANT","18M3",7,8.594,2546.37037037037,291.2,83.6148148148148
"M-15","ACC PLANT","18M3",28,8.689,2574.51851851852,399.8,130.42962962963
"M-15","ACC PLANT","18M3",28,8.583,2543.11111111111,459.6,130.42962962963
"M-15","ACC PLANT","18M3",28,8.485,2514.07407407407,461.2,130.42962962963
"M-15","ACC PLANT","18M3",7,8.586,2544,269.2,81.0271604938272
"M-15","ACC PLANT","18M3",7,8.725,2585.18518518519,263.1,81.0271604938272
"M-15","ACC PLANT","18M3",7,8.76,2595.55555555556,288.1,81.0271604938272
"M-15","ACC PLANT","18M3",28,8.591,2545.48148148148,548.2,150.291358024691
"M-15","ACC PLANT","18M3",28,8.644,2561.18518518519,483.3,150.291358024691
"M-15","ACC PLANT","18M3",28,8.702,2578.37037037037,490.2,150.291358024691
"M-15","ACC PLANT","32 M3",7,8.301,2459.55555555556,279,81.283950617284
"M-15","ACC PLANT","32 M3",7,8.548,2532.74074074074,301,81.283950617284
"M-15","ACC PLANT","32 M3",7,8.288,2455.7037037037,243,81.283950617284
"M-15","ACC PLANT","32 M3",28,8.329,2467.85185185185,429.3,134.982716049383
"M-15","ACC PLANT","32 M3",28,8.411,2492.14814814815,471.5,134.982716049383
"M-15","ACC PLANT","32 M3",28,8.442,2501.33333333333,465.9,134.982716049383
"M-15","ACC PLANT","32 M3",7,8.313,2463.11111111111,260,83.9506172839506
"M-15","ACC PLANT","32 M3",7,8.409,2491.55555555556,309,83.9506172839506
"M-15","ACC PLANT","32 M3",7,8.271,2450.66666666667,281,83.9506172839506
